Numero,Cliente,Saldo
1,96696,56982
2,66366,88386
3,64200,88799
4,27269,55177
5,26157,5208
6,26514,41964
7,35985,7686
8,7297,29173
9,42801,19974
10,30611,28475
11,50221,49809
12,88049,82974
13,61143,65619
14,3700,3003
15,72445,16600
16,26055,63888
17,88344,25428
18,28181,57063
19,33463,93590
20,37804,58938
21,32910,22308
22,45419,26692
23,22982,36800
24,27234,51326
25,54831,22587
26,17533,93920
27,64715,28927
28,93104,1785
29,52308,77714
30,31157,8337
31,84923,37171
32,36487,86483
33,408,1884
34,41918,47293
35,1469,51990
36,76756,57024
37,28254,96845
38,11216,28914
39,72931,80055
40,86109,59057
41,82329,39039
42,25280,86117
43,91894,33185
44,35409,75648
45,48915,93717
46,65479,12812
47,99884,22788
48,38461,98125
49,34809,76102
50,24515,20739
51,6341,56335
52,87074,24148
53,50184,69732
54,88957,92112
55,37193,73880
56,21593,64645
57,25372,93901
58,43713,50194
59,558,51742
60,81187,42724
61,52986,72463
62,99556,40492
63,78824,21822
64,11751,97799
65,58348,58081
66,15403,7268
67,30290,6141
68,86731,41871
69,32477,90288
70,27283,76679
71,82077,30818
72,54318,66406
73,1589,74935
74,69393,26884
75,15240,27593
76,87364,36411
77,49099,23347
78,81195,42301
79,7444,73188
80,100685,97288
81,89960,85557
82,47353,72171
83,82337,70835
84,84989,15166
85,42078,61338
86,16404,2270
87,70764,42030
88,25003,30364
89,64734,26796
90,61944,91422
91,83345,22848
92,31938,72830
93,58146,7343
94,111,78513
95,85022,68165
96,76875,83321
97,73606,24964
98,90550,1533
99,95202,29811
100,35240,26894
101,38898,15014
102,74049,47194
103,40180,70198
104,77471,33918
105,6934,17850
106,20784,68970
107,101652,73820
108,43510,27164
109,32194,85430
110,17925,48778
111,80684,6760
112,82162,34764
113,21286,89347
114,42145,12314
115,16754,35963
116,50321,73383
117,6489,48116
118,62196,80401
119,48071,80189
120,33913,82709
121,79726,11876
122,59646,45509
123,65012,47172
124,66972,76857
125,56081,43039
126,64049,47018
127,39112,23163
128,76757,82756
129,89698,87161
130,74324,44436
131,15585,16765
132,46523,37450
133,41100,91173
134,87787,2012
135,86372,74955
136,100613,82804
137,59970,85068
138,99409,59287
139,63477,24138
140,77143,53832
141,49291,35339
142,59919,72756
143,11090,78657
144,57442,92641
145,68917,44114
146,83908,15460
147,4962,92094
148,60056,40789
149,51517,35039
150,86075,38516
151,20944,95724
152,54600,25172
153,91741,11653
154,11301,9348
155,97234,10547
156,36934,33288
